라운드,소속,상대팀,LB 이름,LB 선호발,LB 정발 여부,RB 이름,RB 선호발,RB 정발 여부,CB1 이름,CB1 선호발,CB1 정발 여부,CB2 이름,CB2 선호발,CB2 정발 여부
1R,울산,전북(H),설영우,right,정발x,김태환,right,정발,김영권,left,정발,정승현,right,정발
2R,울산,강원(A),설영우,right,정발x,김태환,right,정발,김영권,left,정발,정승현,right,정발
3R,울산,서울(A),설영우,right,정발x,김태환,right,정발,김영권,left,정발,정승현,right,정발
4R,울산,수원FC(H),설영우,right,정발x,김태환,right,정발,김영권,left,정발,정승현,right,정발
5R,울산,제주(A),이명재,left,정발,설영우,right,정발,김영권,left,정발,정승현,right,정발
6R,울산,수원(H),이명재,left,정발,설영우,right,정발,김영권,left,정발,정승현,right,정발
7R,울산,대전(A),설영우,right,정발x,김태환,right,정발,김영권,left,정발,김기희,right,정발
8R,울산,포항(H),이명재,left,정발,설영우,right,정발,김영권,left,정발,정승현,right,정발
9R,울산,인천(A),이명재,left,정발,설영우,right,정발,김영권,left,정발,김기희,right,정발
10R,울산,광주(H),설영우,right,정발x,,,,김영권,left,정발,김기희,right,정발
11R,울산,대구(A),이명재,left,정발,설영우,right,정발,김영권,left,정발,김기희,right,정발
12R,울산,강원(H),이명재,left,정발,김태환,right,정발,김영권,left,정발,김기희,right,정발
13R,울산,서울(H),이명재,left,정발,설영우,right,정발,김영권,left,정발,김기희,right,정발
14R,울산,수원(A),이명재,left,정발,설영우,right,정발,김영권,left,정발,김기희,right,정발
15R,울산,대전(H),이명재,left,정발,설영우,right,정발,김영권,left,정발,김기희,right,정발
16R,울산,전북(A),이명재,left,정발,설영우,right,정발,김기희,right,정발x,정승현,right,정발
17R,울산,수원FC(A),이명재,left,정발,설영우,right,정발,김기희,right,정발x,정승현,right,정발
18R,울산,제주(H),이명재,left,정발,설영우,right,정발,김기희,right,정발x,정승현,right,정발
19R,울산,대구(H),설영우,right,정발x,김태환,right,정발,김영권,left,정발,김기희,right,정발
20R,울산,광주(A),이명재,left,정발,김태환,right,정발,김영권,left,정발,김기희,right,정발
21R,울산,포항(A),설영우,right,정발x,김태환,right,정발,김영권,left,정발,김기희,right,정발
22R,울산,인천(H),이명재,left,정발,설영우,right,정발,김영권,left,정발,정승현,right,정발
23R,울산,수원(A),이명재,left,정발,김태환,right,정발,정승현,right,정발x,김기희,right,정발
24R,울산,제주(H),이명재,left,정발,김태환,right,정발,김영권,left,정발,김기희,right,정발
25R,울산,대구(A),이명재,left,정발,설영우,right,정발,김영권,left,정발,정승현,right,정발
26R,울산,강원(A),이명재,left,정발,김태환,right,정발,김영권,left,정발,김기희,right,정발
27R,울산,전북(H),이명재,left,정발,설영우,right,정발,김기희,right,정발x,정승현,right,정발
28R,울산,서울(A),이명재,left,정발,설영우,right,정발,김영권,left,정발,정승현,right,정발
29R,울산,광주(H),이명재,left,정발,,,,김영권,left,정발,정승현,right,정발
30R,울산,대전(H),이명재,left,정발,김태환,right,정발,임종은,right,정발x,김기희,right,정발
31R,울산,수원FC(A),이명재,left,정발,김태환,right,정발,김기희,right,정발x,정승현,right,정발
32R,울산,포항(A),이명재,left,정발,김태환,right,정발,김기희,right,정발x,임종은,right,정발
33R,울산,인천(H),이명재,left,정발,김태환,right,정발,김기희,right,정발x,정승현,right,정발
34R,울산,광주(A),이명재,left,정발,김태환,right,정발,김영권,left,정발,김기희,right,정발
35R,울산,대구(H),이명재,left,정발,설영우,right,정발,김영권,left,정발,김기희,right,정발
36R,울산,포항(H),,,,설영우,right,정발,김영권,left,정발,김기희,right,정발
37R,울산,인천(A),이명재,left,정발,김태환,right,정발,김영권,left,정발,김기희,right,정발
38R,울산,전북(H),설영우,right,정발x,김태환,right,정발,김영권,left,정발,정승현,right,정발
1R,수원,광주(H),이기제,left,정발,김태환,right,정발,불투이스,left,정발,고명석,right,정발
2R,수원,전북(A),이기제,left,정발,김태환,right,정발,불투이스,left,정발,고명석,right,정발
3R,수원,수원FC(A),이기제,left,정발,김태환,right,정발,불투이스,left,정발,고명석,right,정발
4R,수원,대전(H),이기제,left,정발,김태환,right,정발,불투이스,left,정발,고명석,right,정발
