라운드,소속,상대팀,LB 이름,LB 선호발,LB 정발 여부,RB 이름,RB 선호발,RB 정발 여부,CB1 이름,CB1 선호발,CB1 정발 여부,CB2 이름,CB2 선호발,CB2 정발 여부
1R,울산,강원(H),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,김기희,right,정발
2R,울산,광주(A),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,김기희,right,정발
3R,울산,인천(H),홍철,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
4R,울산,포항(A),홍철,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
5R,울산,제주(H),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,김기희,right,정발
6R,울산,대구(A),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,김기희,right,정발
7R,울산,성남(A),홍철,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
8R,울산,서울(H),홍철,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
9R,울산,수원FC(A),홍철,left,정발,설영우,right,정발,김태현,left,정발,김기희,right,정발
10R,울산,수원(A),홍철,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
11R,울산,전북(H),홍철,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
12R,울산,인천(A),김태현,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
13R,울산,광주(H),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,김기희,right,정발
14R,울산,성남(H),홍철,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
15R,울산,강원(A),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,김기희,right,정발
16R,울산,수원(H),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,김기희,right,정발
17R,울산,전북(A),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,김기희,right,정발
18R,울산,포항(H),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,김기희,right,정발
19R,울산,제주(A),홍철,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
20R,울산,대구(H),홍철,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
21R,울산,수원FC(H),홍철,left,정발,,,,불투이스,left,정발,김기희,right,정발
22R,울산,서울(A),홍철,left,정발,김태환,right,정발,임종은,right,정발x,김기희,right,정발
23R,울산,강원(H),홍철,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
24R,울산,성남(A),홍철,left,정발,김태환,right,정발,김기희,right,정발x,임종은,right,정발
25R,울산,제주(A),홍철,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
26R,울산,수원(H),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,김기희,right,정발
27R,울산,서울(A),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,임종은,right,정발
28R,울산,인천(H),홍철,left,정발,김태환,right,정발,불투이스,left,정발,김기희,right,정발
29R,울산,전북(H),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,김기희,right,정발
30R,울산,대구(A),홍철,left,정발,설영우,right,정발,불투이스,left,정발,김기희,right,정발
31R,울산,포항(A),설영우,right,정발x,김태환,right,정발,김기희,right,정발x,임종은,right,정발
32R,울산,광주(H),홍철,left,정발,설영우,right,정발,불투이스,left,정발,임종은,right,정발
33R,울산,수원FC(A),설영우,right,정발x,김태환,right,정발,불투이스,left,정발,김기희,right,정발
34R,울산,수원FC(H),설영우,right,정발x,김태환,right,정발,임종은,right,정발x,김기희,right,정발
35R,울산,전북(A),설영우,right,정발x,김태환,right,정발,임종은,right,정발x,김기희,right,정발
36R,울산,제주(H),이명재,left,정발,,,,임종은,right,정발x,김기희,right,정발
37R,울산,수원(A),설영우,right,정발x,김태환,right,정발,김기희,right,정발x,임종은,right,정발
38R,울산,대구(H),설영우,right,정발x,김태환,right,정발,김기희,right,정발x,임종은,right,정발
1R,수원,광주(H),,,,,,,,,,,,
2R,수원,성남(H),,,,,,,,,,,,
3R,수원,수원FC(A),,,,,,,,,,,,
4R,수원,강원(H),,,,,,,,,,,,
5R,수원,포항(A),,,,,,,,,,,,
6R,수원,서울(H),,,,,,,,,,,,
7R,수원,전북(H),,,,,,,,,,,,
8R,수원,인천(A),,,,,,,,,,,,
9R,수원,제주(A),,,,,,,,,,,,
10R,수원,울산(H),,,,,,,,,,,,
11R,수원,대구(A),,,,,,,,,,,,
12R,수원,성남(A),,,,,,,,,,,,
13R,수원,포항(H),,,,,,,,,,,,
14R,수원,전북(A),,,,,,,,,,,,
15R,수원,제주(H),,,,,,,,,,,,
16R,수원,울산(A),,,,,,,,,,,,
17R,수원,대구(H),,,,,,,,,,,,
18R,수원,광주(A),,,,,,,,,,,,
19R,수원,서울(A),,,,,,,,,,,,
20R,수원,수원FC(H),,,,,,,,,,,,
21R,수원,인천(H),,,,,,,,,,,,
22R,수원,강원(A),,,,,,,,,,,,
23R,수원,제주(H),,,,,,,,,,,,
24R,수원,대구(A),,,,,,,,,,,,
25R,수원,성남(H),,,,,,,,,,,,
26R,수원,울산(A),,,,,,,,,,,,
27R,수원,수원FC(H),,,,,,,,,,,,
28R,수원,포항(A),,,,,,,,,,,,
29R,수원,광주(H),,,,,,,,,,,,
30R,수원,전북(A),,,,,,,,,,,,
31R,수원,강원(H),,,,,,,,,,,,
32R,수원,서울(H),,,,,,,,,,,,
33R,수원,인천(A),,,,,,,,,,,,
34R,수원,전북(H),,,,,,,,,,,,
35R,수원,제주(A),,,,,,,,,,,,
36R,수원,대구(A),,,,,,,,,,,,
37R,수원,울산(H),,,,,,,,,,,,
38R,수원,수원FC(A),,,,,,,,,,,,
1R,포항,인천(H),강상우,right,정발x,신광훈,right,정발,하창래,right,정발x,권완규,right,정발
2R,포항,강원(A),강상우,right,정발x,신광훈,right,정발,하창래,right,정발x,권완규,right,정발
3R,포항,제주(A),강상우,right,정발x,신광훈,right,정발,전민광,,정발x,권완규,right,정발
4R,포항,울산(H),강상우,right,정발x,신광훈,right,정발,전민광,,정발x,권완규,right,정발
5R,포항,수원(H),강상우,right,정발x,신광훈,right,정발,전민광,,정발x,권완규,right,정발
6R,포항,성남(A),강상우,right,정발x,신광훈,right,정발,전민광,,정발x,권완규,right,정발
7R,포항,대구(H),강상우,right,정발x,신광훈,right,정발,권완규,right,정발x,전민광,,정발x
8R,포항,전북(H),강상우,right,정발x,신광훈,right,정발,권완규,right,정발x,전민광,,정발x
9R,포항,서울(A),강상우,right,정발x,전민광,,정발x,권완규,right,정발x,이광준,,정발x
10R,포항,광주(A),신광훈,right,정발x,강상우,right,정발,전민광,,정발x,권완규,right,정발
11R,포항,수원FC(H),강상우,right,정발x,신광훈,right,정발,권완규,right,정발x,전민광,,정발x
12R,포항,제주(H),강상우,right,정발x,전민광,,정발x,권완규,right,정발x,이광준,,정발x
13R,포항,수원(A),강상우,right,정발x,전민광,,정발x,권완규,right,정발x,이광준,,정발x
14R,포항,강원(H),김성준,left,정발,강상우,right,정발,,,,이광준,,정발x
15R,포항,강원(H),강상우,right,정발x,전민광,,정발x,전민광,,정발x,이광준,,정발x
16R,포항,성남(H),강상우,right,정발x,박승욱,right,정발,그랜트,,정발x,권완규,right,정발
17R,포항,수원FC(A),강상우,right,정발x,전민광,,정발x,권완규,right,정발x,이광준,,정발x
18R,포항,울산(A),강상우,right,정발x,전민광,,정발x,권완규,right,정발x,이광준,,정발x
19R,포항,광주(H),강상우,right,정발x,신광훈,right,정발,권완규,right,정발x,이광준,,정발x
20R,포항,전북(A),전민광,,정발x,박승욱,right,정발,그랜트,,정발x,권완규,right,정발
21R,포항,서울(H),그랜트,,정발x,신광훈,right,정발,권완규,right,정발x,전민광,,정발x
22R,포항,대구(A),강상우,right,정발x,박승욱,right,정발,그랜트,,정발x,권완규,right,정발
23R,포항,성남(A),강상우,right,정발x,박승욱,right,정발,그랜트,,정발x,권완규,right,정발
24R,포항,인천(H),강상우,right,정발x,박승욱,right,정발,그랜트,,정발x,권완규,right,정발
25R,포항,수원FC(H),김륜성,left,정발,박승욱,right,정발,그랜트,,정발x,권완규,right,정발
26R,포항,서울(A),김륜성,left,정발,박승욱,right,정발,그랜트,,정발x,권완규,right,정발
27R,포항,전북(A),전민광,,정발x,박승욱,right,정발,그랜트,,정발x,권완규,right,정발
28R,포항,수원(H),김륜성,left,정발,박승욱,right,정발,그랜트,,정발x,권완규,right,정발
29R,포항,대구(H),강상우,right,정발x,박승욱,right,정발,전민광,,정발x,권완규,right,정발
30R,포항,강원(A),전민광,,정발x,박승욱,right,정발,그랜트,,정발x,권완규,right,정발
31R,포항,울산(H),전민광,,정발x,박승욱,right,정발,그랜트,,정발x,권완규,right,정발
32R,포항,제주(H),김륜성,left,정발,박승욱,right,정발,그랜트,,정발x,권완규,right,정발
33R,포항,광주(A),강상우,right,정발x,박승욱,right,정발,이광준,,정발x,권완규,right,정발
34R,포항,성남(A),강상우,right,정발x,박승욱,right,정발,이광준,,정발x,권완규,right,정발
35R,포항,강원(H),김륜성,left,정발,전민광,,정발x,그랜트,,정발x,권완규,right,정발
36R,포항,광주(H),김륜성,left,정발,전민광,,정발x,그랜트,,정발x,권완규,right,정발
